D:, L: , R: , ciclos: , accesos: , ciclos/acc:
1, 384, 3065, 202586, 122600, 1.652414
1, 1152, 9209, 618840, 368360, 1.679987
1, 10240, 81913, 5351468, 3276520, 1.633278
1, 15360, 122873, 7960168, 4914920, 1.619593
1, 40960, 327673, 21747212, 13106920, 1.659216
1, 81920, 655353, 43689522, 26214120, 1.666641
1, 163840, 1310713, 85197172, 52428520, 1.625016
2, 384, 1533, 108682, 61320, 1.772374
2, 1152, 4605, 326760, 184200, 1.773941
2, 10240, 40957, 2671364, 1638280, 1.630591
2, 15360, 61437, 3968614, 2457480, 1.614912
2, 40960, 163837, 10859648, 6553480, 1.657081
2, 81920, 327677, 20980332, 13107080, 1.600687
2, 163840, 655357, 44315754, 26214280, 1.690520
4, 384, 767, 50932, 30680, 1.660104
4, 1152, 2303, 158026, 92120, 1.715436
4, 10240, 20479, 1481426, 819160, 1.808470
4, 15360, 30719, 2225730, 1228760, 1.811363
4, 40960, 81919, 5895952, 3276760, 1.799324
4, 81920, 163839, 11832648, 6553560, 1.805530
4, 163840, 327679, 23206176, 13107160, 1.770496
8, 384, 384, 24858, 15360, 1.618359
8, 1152, 1152, 75222, 46080, 1.632422
8, 10240, 10240, 694754, 409600, 1.696177
8, 15360, 15360, 1078612, 614400, 1.755553
8, 40960, 40960, 3131692, 1638400, 1.911433
8, 81920, 81920, 6028356, 3276800, 1.839708
8, 163840, 163840, 13352240, 6553600, 2.037390
16, 384, 384, 24960, 15360, 1.625000
16, 1152, 1152, 74992, 46080, 1.627431
16, 10240, 10240, 864014, 409600, 2.109409
16, 15360, 15360, 1410228, 614400, 2.295293
16, 40960, 40960, 3956022, 1638400, 2.414564
16, 81920, 81920, 9139694, 3276800, 2.789213
16, 163840, 163840, 17602728, 6553600, 2.685963
32, 384, 384, 28038, 15360, 1.825391
32, 1152, 1152, 83394, 46080, 1.809766
32, 10240, 10240, 1080440, 409600, 2.637793
32, 15360, 15360, 1495376, 614400, 2.433880
32, 40960, 40960, 4226802, 1638400, 2.579835
32, 81920, 81920, 18568360, 3276800, 5.666614
32, 163840, 163840, 48481856, 6553600, 7.397744
64, 384, 384, 26154, 15360, 1.702734
64, 1152, 1152, 86504, 46080, 1.877257
64, 10240, 10240, 1045880, 409600, 2.553418
64, 15360, 15360, 1377048, 614400, 2.241289
64, 40960, 40960, 4145112, 1638400, 2.529976
64, 81920, 81920, 18824280, 3276800, 5.744714
64, 163840, 163840, 36950906, 6553600, 5.638261
128, 384, 384, 29370, 15360, 1.912109
128, 1152, 1152, 118620, 46080, 2.574219
128, 10240, 10240, 1095080, 409600, 2.673535
128, 15360, 15360, 1617786, 614400, 2.633115
128, 40960, 40960, 9642240, 1638400, 5.885156
128, 81920, 81920, 18807150, 3276800, 5.739487
128, 163840, 163840, 34163480, 6553600, 5.212933
256, 384, 384, 30086, 15360, 1.958724
256, 1152, 1152, 196126, 46080, 4.256207
256, 10240, 10240, 1319722, 409600, 3.221978
256, 15360, 15360, 3506908, 614400, 5.707858
256, 40960, 40960, 8362074, 1638400, 5.103805
256, 81920, 81920, 24528156, 3276800, 7.485399
256, 163840, 163840, 40323572, 6553600, 6.152889
512, 384, 384, 64974, 15360, 4.230078
512, 1152, 1152, 162012, 46080, 3.515885
512, 10240, 10240, 2694220, 409600, 6.577686
512, 15360, 15360, 3378518, 614400, 5.498890
512, 40960, 40960, 9726802, 1638400, 5.936769
512, 81920, 81920, 25189194, 3276800, 7.687132
512, 163840, 163840, 50486792, 6553600, 7.703673
1024, 384, 384, 75080, 15360, 4.888021
1024, 1152, 1152, 186778, 46080, 4.053342
1024, 10240, 10240, 3198472, 409600, 7.808770
1024, 15360, 15360, 4159564, 614400, 6.770124
1024, 40960, 40960, 12659406, 1638400, 7.726688
1024, 81920, 81920, 25482884, 3276800, 7.776759
1024, 163840, 163840, 55552172, 6553600, 8.476589
2048, 384, 384, 38410, 15360, 2.500651
2048, 1152, 1152, 185676, 46080, 4.029427
2048, 10240, 10240, 3562422, 409600, 8.697319
2048, 15360, 15360, 5046248, 614400, 8.213294
2048, 40960, 40960, 10868380, 1638400, 6.633533
2048, 81920, 81920, 27611426, 3276800, 8.426339
2048, 163840, 163840, 51256918, 6553600, 7.821185
4096, 384, 384, 56528, 15360, 3.680208
4096, 1152, 1152, 307746, 46080, 6.678516
4096, 10240, 10240, 4065126, 409600, 9.924624
4096, 15360, 15360, 5635488, 614400, 9.172344
4096, 40960, 40960, 15255496, 1638400, 9.311216
4096, 81920, 81920, 29665584, 3276800, 9.053218
4096, 163840, 163840, 53088770, 6553600, 8.100703
8192, 384, 384, 73258, 15360, 4.769401
8192, 1152, 1152, 513630, 46080, 11.146484
8192, 10240, 10240, 4159100, 409600, 10.154053
8192, 15360, 15360, 6622588, 614400, 10.778952
8192, 40960, 40960, 14092684, 1638400, 8.601492
8192, 81920, 81920, 31235754, 3276800, 9.532396
8192, 163840, 163840, 98051696, 6553600, 14.961501
