D:, L: , R: , ciclos: , accesos: , ciclos/acc:
1, 384, 3065, 184344, 122600, 1.503622
1, 1152, 9209, 553762, 368360, 1.503317
1, 10240, 81913, 5262472, 3276520, 1.606116
1, 15360, 122873, 7918186, 4914920, 1.611051
1, 40960, 327673, 20640352, 13106920, 1.574768
1, 81920, 655353, 40982440, 26214120, 1.563373
1, 163840, 1310713, 80089238, 52428520, 1.527589
2, 384, 1533, 98246, 61320, 1.602185
2, 1152, 4605, 326936, 184200, 1.774897
2, 10240, 40957, 2729670, 1638280, 1.666180
2, 15360, 61437, 4085750, 2457480, 1.662577
2, 40960, 163837, 10634300, 6553480, 1.622695
2, 81920, 327677, 21747484, 13107080, 1.659217
2, 163840, 655357, 41915108, 26214280, 1.598942
4, 384, 767, 46276, 30680, 1.508344
4, 1152, 2303, 148548, 92120, 1.612549
4, 10240, 20479, 1336542, 819160, 1.631601
4, 15360, 30719, 2054622, 1228760, 1.672110
4, 40960, 81919, 5500194, 3276760, 1.678546
4, 81920, 163839, 10729352, 6553560, 1.637179
4, 163840, 327679, 22829242, 13107160, 1.741738
8, 384, 384, 22726, 15360, 1.479557
8, 1152, 1152, 75316, 46080, 1.634462
8, 10240, 10240, 676546, 409600, 1.651724
8, 15360, 15360, 1139764, 614400, 1.855085
8, 40960, 40960, 3346618, 1638400, 2.042614
8, 81920, 81920, 5772948, 3276800, 1.761764
8, 163840, 163840, 12574046, 6553600, 1.918647
16, 384, 384, 23460, 15360, 1.527344
16, 1152, 1152, 70470, 46080, 1.529297
16, 10240, 10240, 816620, 409600, 1.993701
16, 15360, 15360, 1736862, 614400, 2.826924
16, 40960, 40960, 4350056, 1638400, 2.655063
16, 81920, 81920, 8790382, 3276800, 2.682612
16, 163840, 163840, 34471628, 6553600, 5.259953
32, 384, 384, 28120, 15360, 1.830729
32, 1152, 1152, 83340, 46080, 1.808594
32, 10240, 10240, 1036744, 409600, 2.531113
32, 15360, 15360, 1508040, 614400, 2.454492
32, 40960, 40960, 4732748, 1638400, 2.888640
32, 81920, 81920, 16657746, 3276800, 5.083541
32, 163840, 163840, 42048836, 6553600, 6.416143
64, 384, 384, 25358, 15360, 1.650911
64, 1152, 1152, 76816, 46080, 1.667014
64, 10240, 10240, 999738, 409600, 2.440767
64, 15360, 15360, 1394306, 614400, 2.269378
64, 40960, 40960, 5999772, 1638400, 3.661970
64, 81920, 81920, 19744958, 3276800, 6.025683
64, 163840, 163840, 38822406, 6553600, 5.923829
128, 384, 384, 28574, 15360, 1.860286
128, 1152, 1152, 113560, 46080, 2.464410
128, 10240, 10240, 1098040, 409600, 2.680762
128, 15360, 15360, 1554770, 614400, 2.530550
128, 40960, 40960, 7865082, 1638400, 4.800465
128, 81920, 81920, 19395866, 3276800, 5.919149
128, 163840, 163840, 27393972, 6553600, 4.179988
256, 384, 384, 24686, 15360, 1.607161
256, 1152, 1152, 91372, 46080, 1.982899
256, 10240, 10240, 1039800, 409600, 2.538574
256, 15360, 15360, 3773430, 614400, 6.141650
256, 40960, 40960, 9858080, 1638400, 6.016895
256, 81920, 81920, 20466430, 3276800, 6.245859
256, 163840, 163840, 42115156, 6553600, 6.426263
512, 384, 384, 58690, 15360, 3.820964
512, 1152, 1152, 225548, 46080, 4.894705
512, 10240, 10240, 2339934, 409600, 5.712729
512, 15360, 15360, 4082044, 614400, 6.643952
512, 40960, 40960, 10795246, 1638400, 6.588895
512, 81920, 81920, 22819534, 3276800, 6.963969
512, 163840, 163840, 39360788, 6553600, 6.005980
1024, 384, 384, 78722, 15360, 5.125130
1024, 1152, 1152, 182764, 46080, 3.966233
1024, 10240, 10240, 2276132, 409600, 5.556963
1024, 15360, 15360, 5097690, 614400, 8.297021
1024, 40960, 40960, 12639750, 1638400, 7.714691
1024, 81920, 81920, 27099156, 3276800, 8.270006
1024, 163840, 163840, 54907964, 6553600, 8.378290
2048, 384, 384, 56756, 15360, 3.695052
2048, 1152, 1152, 211460, 46080, 4.588976
2048, 10240, 10240, 2708288, 409600, 6.612031
2048, 15360, 15360, 5408208, 614400, 8.802422
2048, 40960, 40960, 13665442, 1638400, 8.340724
2048, 81920, 81920, 29693472, 3276800, 9.061729
2048, 163840, 163840, 53681936, 6553600, 8.191213
4096, 384, 384, 83260, 15360, 5.420573
4096, 1152, 1152, 259344, 46080, 5.628125
4096, 10240, 10240, 3972152, 409600, 9.697637
4096, 15360, 15360, 4451184, 614400, 7.244766
4096, 40960, 40960, 12454310, 1638400, 7.601508
4096, 81920, 81920, 28517902, 3276800, 8.702973
4096, 163840, 163840, 67782978, 6553600, 10.342862
8192, 384, 384, 81706, 15360, 5.319401
8192, 1152, 1152, 528136, 46080, 11.461285
8192, 10240, 10240, 3096444, 409600, 7.559678
8192, 15360, 15360, 6345992, 614400, 10.328763
8192, 40960, 40960, 17656512, 1638400, 10.776680
8192, 81920, 81920, 38950448, 3276800, 11.886733
8192, 163840, 163840, 84357868, 6553600, 12.871989
