D:, L: , R: , ciclos: , accesos: , ciclos/acc:
1, 384, 3065, 178930, 122600, 1.459462
1, 1152, 9209, 553600, 368360, 1.502878
1, 10240, 81913, 5187210, 3276520, 1.583146
1, 15360, 122873, 7410804, 4914920, 1.507818
1, 40960, 327673, 20062138, 13106920, 1.530652
1, 81920, 655353, 39008858, 26214120, 1.488086
1, 163840, 1310713, 79972212, 52428520, 1.525357
2, 384, 1533, 89464, 61320, 1.458969
2, 1152, 4605, 278340, 184200, 1.511075
2, 10240, 40957, 2481804, 1638280, 1.514884
2, 15360, 61437, 3966364, 2457480, 1.613996
2, 40960, 163837, 10007024, 6553480, 1.526979
2, 81920, 327677, 20162698, 13107080, 1.538306
2, 163840, 655357, 42031038, 26214280, 1.603364
4, 384, 767, 45016, 30680, 1.467275
4, 1152, 2303, 139384, 92120, 1.513070
4, 10240, 20479, 1249866, 819160, 1.525790
4, 15360, 30719, 2006240, 1228760, 1.632735
4, 40960, 81919, 5123626, 3276760, 1.563626
4, 81920, 163839, 10215794, 6553560, 1.558816
4, 163840, 327679, 23081172, 13107160, 1.760959
8, 384, 384, 24892, 15360, 1.620573
8, 1152, 1152, 70532, 46080, 1.530642
8, 10240, 10240, 633596, 409600, 1.546865
8, 15360, 15360, 973778, 614400, 1.584925
8, 40960, 40960, 2902848, 1638400, 1.771758
8, 81920, 81920, 5662512, 3276800, 1.728062
8, 163840, 163840, 11664146, 6553600, 1.779807
16, 384, 384, 25028, 15360, 1.629427
16, 1152, 1152, 75200, 46080, 1.631944
16, 10240, 10240, 882200, 409600, 2.153809
16, 15360, 15360, 1152614, 614400, 1.875999
16, 40960, 40960, 3988536, 1638400, 2.434409
16, 81920, 81920, 7497290, 3276800, 2.287991
16, 163840, 163840, 26701692, 6553600, 4.074355
