D:, L: , R: , ciclos: , accesos: , ciclos/acc:
1, 384, 3065, 196232, 122600, 1.600587
1, 1152, 9209, 589498, 368360, 1.600331
1, 10240, 81913, 5304218, 3276520, 1.618857
1, 15360, 122873, 7986534, 4914920, 1.624957
1, 40960, 327673, 21642860, 13106920, 1.651254
1, 81920, 655353, 41490548, 26214120, 1.582756
1, 163840, 1310713, 81276840, 52428520, 1.550241
2, 384, 1533, 98362, 61320, 1.604077
2, 1152, 4605, 295210, 184200, 1.602660
2, 10240, 40957, 2633102, 1638280, 1.607236
2, 15360, 61437, 3961050, 2457480, 1.611834
2, 40960, 163837, 9812414, 6553480, 1.497283
2, 81920, 327677, 21128934, 13107080, 1.612024
2, 163840, 655357, 40655084, 26214280, 1.550875
4, 384, 767, 50450, 30680, 1.644394
4, 1152, 2303, 148642, 92120, 1.613569
4, 10240, 20479, 1253788, 819160, 1.530578
4, 15360, 30719, 1876728, 1228760, 1.527335
4, 40960, 81919, 5305438, 3276760, 1.619111
4, 81920, 163839, 10028368, 6553560, 1.530217
4, 163840, 327679, 20224618, 13107160, 1.543021
8, 384, 384, 23320, 15360, 1.518229
8, 1152, 1152, 75152, 46080, 1.630903
8, 10240, 10240, 665024, 409600, 1.623594
8, 15360, 15360, 1034730, 614400, 1.684131
8, 40960, 40960, 2566336, 1638400, 1.566367
8, 81920, 81920, 5488906, 3276800, 1.675081
8, 163840, 163840, 10632188, 6553600, 1.622343
16, 384, 384, 25020, 15360, 1.628906
16, 1152, 1152, 75040, 46080, 1.628472
16, 10240, 10240, 700184, 409600, 1.709434
16, 15360, 15360, 1355518, 614400, 2.206247
16, 40960, 40960, 3089968, 1638400, 1.885967
16, 81920, 81920, 7633570, 3276800, 2.329581
16, 163840, 163840, 18827002, 6553600, 2.872773
32, 384, 384, 23842, 15360, 1.552214
32, 1152, 1152, 70692, 46080, 1.534115
32, 10240, 10240, 863298, 409600, 2.107661
32, 15360, 15360, 1207734, 614400, 1.965713
32, 40960, 40960, 3863240, 1638400, 2.357935
32, 81920, 81920, 10831130, 3276800, 3.305399
32, 163840, 163840, 31421902, 6553600, 4.794602
64, 384, 384, 28082, 15360, 1.828255
64, 1152, 1152, 84018, 46080, 1.823307
64, 10240, 10240, 814948, 409600, 1.989619
64, 15360, 15360, 1149796, 614400, 1.871413
64, 40960, 40960, 4981392, 1638400, 3.040400
64, 81920, 81920, 14721510, 3276800, 4.492648
64, 163840, 163840, 42989684, 6553600, 6.559705
128, 384, 384, 25608, 15360, 1.667188
128, 1152, 1152, 81040, 46080, 1.758681
128, 10240, 10240, 966926, 409600, 2.360659
128, 15360, 15360, 1555908, 614400, 2.532402
128, 40960, 40960, 7747920, 1638400, 4.728955
128, 81920, 81920, 15612542, 3276800, 4.764570
128, 163840, 163840, 30842108, 6553600, 4.706132
256, 384, 384, 40096, 15360, 2.610417
256, 1152, 1152, 96198, 46080, 2.087630
256, 10240, 10240, 1544650, 409600, 3.771118
256, 15360, 15360, 2917056, 614400, 4.747813
256, 40960, 40960, 8504860, 1638400, 5.190955
256, 81920, 81920, 17161846, 3276800, 5.237380
256, 163840, 163840, 36019104, 6553600, 5.496079
512, 384, 384, 75220, 15360, 4.897135
512, 1152, 1152, 100532, 46080, 2.181684
512, 10240, 10240, 2302234, 409600, 5.620688
512, 15360, 15360, 3941176, 614400, 6.414674
512, 40960, 40960, 9284762, 1638400, 5.666969
512, 81920, 81920, 17286464, 3276800, 5.275410
512, 163840, 163840, 41214336, 6553600, 6.288809
1024, 384, 384, 33204, 15360, 2.161719
1024, 1152, 1152, 187946, 46080, 4.078689
1024, 10240, 10240, 2549022, 409600, 6.223198
1024, 15360, 15360, 4348710, 614400, 7.077979
1024, 40960, 40960, 11247752, 1638400, 6.865083
1024, 81920, 81920, 19401384, 3276800, 5.920833
1024, 163840, 163840, 42190936, 6553600, 6.437826
2048, 384, 384, 37728, 15360, 2.456250
2048, 1152, 1152, 217018, 46080, 4.709592
2048, 10240, 10240, 2483170, 409600, 6.062427
2048, 15360, 15360, 3945458, 614400, 6.421644
2048, 40960, 40960, 10294704, 1638400, 6.283389
2048, 81920, 81920, 22549376, 3276800, 6.881523
2048, 163840, 163840, 48560746, 6553600, 7.409782
4096, 384, 384, 35972, 15360, 2.341927
4096, 1152, 1152, 222720, 46080, 4.833333
4096, 10240, 10240, 2724880, 409600, 6.652539
4096, 15360, 15360, 4199814, 614400, 6.835635
4096, 40960, 40960, 11790012, 1638400, 7.196052
4096, 81920, 81920, 24978540, 3276800, 7.622845
4096, 163840, 163840, 50269976, 6553600, 7.670590
8192, 384, 384, 35916, 15360, 2.338281
8192, 1152, 1152, 214978, 46080, 4.665321
8192, 10240, 10240, 2886814, 409600, 7.047886
8192, 15360, 15360, 5541288, 614400, 9.019023
8192, 40960, 40960, 14428226, 1638400, 8.806290
8192, 81920, 81920, 35541974, 3276800, 10.846550
8192, 163840, 163840, 74266786, 6553600, 11.332212
