############ Ejecución 1 ############
D: 512, L: 3072, R: 3072, ciclos: 318554, accesos: 122880, ciclos/acc: 2.592399
D: 512, L: 8192, R: 8192, ciclos: 1697236, accesos: 327680, ciclos/acc: 5.179553
D: 512, L: 16384, R: 16384, ciclos: 3436832, accesos: 655360, ciclos/acc: 5.244189
D: 512, L: 32768, R: 32768, ciclos: 7266740, accesos: 1310720, ciclos/acc: 5.544083
D: 1024, L: 256, R: 256, ciclos: 19478, accesos: 10240, ciclos/acc: 1.902148
D: 1024, L: 768, R: 768, ciclos: 81068, accesos: 30720, ciclos/acc: 2.638932
D: 1024, L: 2048, R: 2048, ciclos: 184994, accesos: 81920, ciclos/acc: 2.258228
D: 1024, L: 3072, R: 3072, ciclos: 394062, accesos: 122880, ciclos/acc: 3.206885
D: 1024, L: 8192, R: 8192, ciclos: 1434908, accesos: 327680, ciclos/acc: 4.378992
D: 1024, L: 16384, R: 16384, ciclos: 3668666, accesos: 655360, ciclos/acc: 5.597940
D: 1024, L: 32768, R: 32768, ciclos: 7263592, accesos: 1310720, ciclos/acc: 5.541681
D: 2048, L: 256, R: 256, ciclos: 20998, accesos: 10240, ciclos/acc: 2.050586
D: 2048, L: 768, R: 768, ciclos: 66296, accesos: 30720, ciclos/acc: 2.158073
D: 2048, L: 2048, R: 2048, ciclos: 202230, accesos: 81920, ciclos/acc: 2.468628
D: 2048, L: 3072, R: 3072, ciclos: 367524, accesos: 122880, ciclos/acc: 2.990918
D: 2048, L: 8192, R: 8192, ciclos: 1780414, accesos: 327680, ciclos/acc: 5.433392
D: 2048, L: 16384, R: 16384, ciclos: 3919462, accesos: 655360, ciclos/acc: 5.980624
D: 2048, L: 32768, R: 32768, ciclos: 7787502, accesos: 1310720, ciclos/acc: 5.941393
D: 4096, L: 256, R: 256, ciclos: 38568, accesos: 10240, ciclos/acc: 3.766406
D: 4096, L: 768, R: 768, ciclos: 107704, accesos: 30720, ciclos/acc: 3.505990
D: 4096, L: 2048, R: 2048, ciclos: 209468, accesos: 81920, ciclos/acc: 2.556982
D: 4096, L: 3072, R: 3072, ciclos: 385856, accesos: 122880, ciclos/acc: 3.140104
D: 4096, L: 8192, R: 8192, ciclos: 1675716, accesos: 327680, ciclos/acc: 5.113879
D: 4096, L: 16384, R: 16384, ciclos: 4114282, accesos: 655360, ciclos/acc: 6.277896
D: 4096, L: 32768, R: 32768, ciclos: 8997016, accesos: 1310720, ciclos/acc: 6.864178
D: 8192, L: 256, R: 256, ciclos: 40954, accesos: 10240, ciclos/acc: 3.999414
D: 8192, L: 768, R: 768, ciclos: 100346, accesos: 30720, ciclos/acc: 3.266471
D: 8192, L: 2048, R: 2048, ciclos: 229934, accesos: 81920, ciclos/acc: 2.806812
D: 8192, L: 3072, R: 3072, ciclos: 505132, accesos: 122880, ciclos/acc: 4.110775
D: 8192, L: 8192, R: 8192, ciclos: 1869940, accesos: 327680, ciclos/acc: 5.706604
D: 8192, L: 16384, R: 16384, ciclos: 5133074, accesos: 655360, ciclos/acc: 7.832449
D: 8192, L: 32768, R: 32768, ciclos: 10279734, accesos: 1310720, ciclos/acc: 7.842815
############ Ejecución 2 ############
D: 1, L: 256, R: 2041, ciclos: 130552, accesos: 81640, ciclos/acc: 1.599118
D: 1, L: 768, R: 6137, ciclos: 392804, accesos: 245480, ciclos/acc: 1.600147
D: 1, L: 2048, R: 16377, ciclos: 1064802, accesos: 655080, ciclos/acc: 1.625453
D: 1, L: 3072, R: 24569, ciclos: 1476674, accesos: 982760, ciclos/acc: 1.502578
D: 1, L: 8192, R: 65529, ciclos: 4208916, accesos: 2621160, ciclos/acc: 1.605746
