1, 384, 3065, 202728, 122600, 1.653573
1, 1152, 9209, 652466, 368360, 1.771273
1, 10240, 81913, 5834670, 3276520, 1.780752
1, 15360, 122873, 8339690, 4914920, 1.696811
1, 40960, 327673, 22373458, 13106920, 1.706996
1, 81920, 655353, 39308300, 26214120, 1.499509
1, 163840, 1310713, 81357038, 52428520, 1.551771
2, 384, 1533, 92266, 61320, 1.504664
2, 1152, 4605, 299568, 184200, 1.626319
2, 10240, 40957, 2630288, 1638280, 1.605518
2, 15360, 61437, 3953326, 2457480, 1.608691
2, 40960, 163837, 10464460, 6553480, 1.596779
2, 81920, 327677, 19785992, 13107080, 1.509565
2, 163840, 655357, 38595092, 26214280, 1.472293
4, 384, 767, 46566, 30680, 1.517797
4, 1152, 2303, 139346, 92120, 1.512657
4, 10240, 20479, 1338816, 819160, 1.634377
4, 15360, 30719, 1924644, 1228760, 1.566330
4, 40960, 81919, 5695740, 3276760, 1.738223
4, 81920, 163839, 10941620, 6553560, 1.669569
4, 163840, 327679, 20118082, 13107160, 1.534893
8, 384, 384, 23290, 15360, 1.516276
8, 1152, 1152, 76710, 46080, 1.664714
8, 10240, 10240, 669904, 409600, 1.635508
8, 15360, 15360, 1043256, 614400, 1.698008
8, 40960, 40960, 3116750, 1638400, 1.902313
8, 81920, 81920, 5670860, 3276800, 1.730609
8, 163840, 163840, 10981760, 6553600, 1.675684
16, 384, 384, 23516, 15360, 1.530990
16, 1152, 1152, 70596, 46080, 1.532031
16, 10240, 10240, 710304, 409600, 1.734141
16, 15360, 15360, 1374346, 614400, 2.236891
16, 40960, 40960, 4136022, 1638400, 2.524427
16, 81920, 81920, 7837584, 3276800, 2.391841
16, 163840, 163840, 19800684, 6553600, 3.021345
32, 384, 384, 23970, 15360, 1.560547
32, 1152, 1152, 89902, 46080, 1.950998
32, 10240, 10240, 1015174, 409600, 2.478452
32, 15360, 15360, 1441636, 614400, 2.346413
32, 40960, 40960, 4914770, 1638400, 2.999738
32, 81920, 81920, 10586116, 3276800, 3.230626
32, 163840, 163840, 30689048, 6553600, 4.682777
64, 384, 384, 25422, 15360, 1.655078
64, 1152, 1152, 75686, 46080, 1.642491
64, 10240, 10240, 832404, 409600, 2.032236
64, 15360, 15360, 1253770, 614400, 2.040641
64, 40960, 40960, 6819302, 1638400, 4.162172
64, 81920, 81920, 21179824, 3276800, 6.463569
64, 163840, 163840, 34147908, 6553600, 5.210557
128, 384, 384, 24034, 15360, 1.564714
128, 1152, 1152, 74122, 46080, 1.608550
128, 10240, 10240, 878234, 409600, 2.144126
128, 15360, 15360, 1184354, 614400, 1.927660
128, 40960, 40960, 7304204, 1638400, 4.458132
128, 81920, 81920, 19418976, 3276800, 5.926201
128, 163840, 163840, 32585256, 6553600, 4.972115
256, 384, 384, 48740, 15360, 3.173177
256, 1152, 1152, 198092, 46080, 4.298872
256, 10240, 10240, 1700400, 409600, 4.151367
256, 15360, 15360, 2610682, 614400, 4.249157
256, 40960, 40960, 8863496, 1638400, 5.409849
256, 81920, 81920, 20070912, 3276800, 6.125156
256, 163840, 163840, 48506114, 6553600, 7.401446
512, 384, 384, 33830, 15360, 2.202474
512, 1152, 1152, 178478, 46080, 3.873220
512, 10240, 10240, 2196554, 409600, 5.362681
512, 15360, 15360, 3456306, 614400, 5.625498
512, 40960, 40960, 9020188, 1638400, 5.505486
512, 81920, 81920, 22588008, 3276800, 6.893313
512, 163840, 163840, 51402190, 6553600, 7.843352
1024, 384, 384, 64692, 15360, 4.211719
1024, 1152, 1152, 92914, 46080, 2.016363
1024, 10240, 10240, 3011330, 409600, 7.351880
1024, 15360, 15360, 4125610, 614400, 6.714860
1024, 40960, 40960, 12788700, 1638400, 7.805603
1024, 81920, 81920, 21253164, 3276800, 6.485951
1024, 163840, 163840, 41661802, 6553600, 6.357086
2048, 384, 384, 35338, 15360, 2.300651
2048, 1152, 1152, 203310, 46080, 4.412109
2048, 10240, 10240, 3262824, 409600, 7.965879
2048, 15360, 15360, 3422056, 614400, 5.569753
2048, 40960, 40960, 10588378, 1638400, 6.462633
2048, 81920, 81920, 22558088, 3276800, 6.884182
2048, 163840, 163840, 43862478, 6553600, 6.692883
4096, 384, 384, 67364, 15360, 4.385677
4096, 1152, 1152, 207308, 46080, 4.498872
4096, 10240, 10240, 2625578, 409600, 6.410103
4096, 15360, 15360, 5120362, 614400, 8.333923
4096, 40960, 40960, 11755460, 1638400, 7.174963
4096, 81920, 81920, 26813798, 3276800, 8.182922
4096, 163840, 163840, 60956420, 6553600, 9.301212
8192, 384, 384, 79092, 15360, 5.149219
8192, 1152, 1152, 298700, 46080, 6.482205
8192, 10240, 10240, 3798598, 409600, 9.273921
8192, 15360, 15360, 5572132, 614400, 9.069225
8192, 40960, 40960, 14291280, 1638400, 8.722705
8192, 81920, 81920, 31948260, 3276800, 9.749835
8192, 163840, 163840, 91952784, 6553600, 14.030881
