D:, L: , R: , ciclos: , accesos: , ciclos/acc:
1, 384, 3065, 205828, 122600, 1.678858
1, 1152, 9209, 652542, 368360, 1.771479
1, 10240, 81913, 5511848, 3276520, 1.682226
1, 15360, 122873, 8374080, 4914920, 1.703808
1, 40960, 327673, 23046554, 13106920, 1.758350
1, 81920, 655353, 44352654, 26214120, 1.691938
1, 163840, 1310713, 82816786, 52428520, 1.579613
2, 384, 1533, 98358, 61320, 1.604012
2, 1152, 4605, 305376, 184200, 1.657850
2, 10240, 40957, 2919592, 1638280, 1.782108
2, 15360, 61437, 4094100, 2457480, 1.665975
2, 40960, 163837, 10517600, 6553480, 1.604888
2, 81920, 327677, 20487074, 13107080, 1.563054
2, 163840, 655357, 45720166, 26214280, 1.744094
4, 384, 767, 54822, 30680, 1.786897
4, 1152, 2303, 164222, 92120, 1.782696
4, 10240, 20479, 1463418, 819160, 1.786486
4, 15360, 30719, 2166250, 1228760, 1.762956
4, 40960, 81919, 5584968, 3276760, 1.704418
4, 81920, 163839, 11065622, 6553560, 1.688490
4, 163840, 327679, 22005822, 13107160, 1.678916
8, 384, 384, 23306, 15360, 1.517318
8, 1152, 1152, 70548, 46080, 1.530990
8, 10240, 10240, 633174, 409600, 1.545835
8, 15360, 15360, 1022170, 614400, 1.663688
8, 40960, 40960, 3273522, 1638400, 1.997999
8, 81920, 81920, 6549170, 3276800, 1.998648
8, 163840, 163840, 11511294, 6553600, 1.756484
16, 384, 384, 24964, 15360, 1.625260
16, 1152, 1152, 75000, 46080, 1.627604
16, 10240, 10240, 714524, 409600, 1.744443
16, 15360, 15360, 1247060, 614400, 2.029720
16, 40960, 40960, 3084330, 1638400, 1.882526
16, 81920, 81920, 6334614, 3276800, 1.933171
16, 163840, 163840, 32990748, 6553600, 5.033989
32, 384, 384, 25414, 15360, 1.654557
32, 1152, 1152, 75386, 46080, 1.635981
32, 10240, 10240, 999054, 409600, 2.439097
32, 15360, 15360, 1533620, 614400, 2.496126
32, 40960, 40960, 4613930, 1638400, 2.816119
32, 81920, 81920, 16080056, 3276800, 4.907244
32, 163840, 163840, 42891596, 6553600, 6.544738
64, 384, 384, 25462, 15360, 1.657682
64, 1152, 1152, 75650, 46080, 1.641710
64, 10240, 10240, 857746, 409600, 2.094106
64, 15360, 15360, 1192310, 614400, 1.940609
64, 40960, 40960, 3950060, 1638400, 2.410925
64, 81920, 81920, 20470386, 3276800, 6.247066
64, 163840, 163840, 31154984, 6553600, 4.753873
128, 384, 384, 24026, 15360, 1.564193
128, 1152, 1152, 84864, 46080, 1.841667
128, 10240, 10240, 1055410, 409600, 2.576685
128, 15360, 15360, 1573542, 614400, 2.561104
128, 40960, 40960, 8910494, 1638400, 5.438534
128, 81920, 81920, 19634066, 3276800, 5.991841
128, 163840, 163840, 36082276, 6553600, 5.505718
256, 384, 384, 28122, 15360, 1.830859
256, 1152, 1152, 106534, 46080, 2.311936
256, 10240, 10240, 1231828, 409600, 3.007393
256, 15360, 15360, 3371496, 614400, 5.487461
256, 40960, 40960, 7285614, 1638400, 4.446786
256, 81920, 81920, 19569842, 3276800, 5.972242
256, 163840, 163840, 32847870, 6553600, 5.012187
512, 384, 384, 42282, 15360, 2.752734
512, 1152, 1152, 123520, 46080, 2.680556
512, 10240, 10240, 1903256, 409600, 4.646621
512, 15360, 15360, 4041894, 614400, 6.578604
512, 40960, 40960, 7797926, 1638400, 4.759476
512, 81920, 81920, 21212576, 3276800, 6.473564
512, 163840, 163840, 45168524, 6553600, 6.892170
1024, 384, 384, 34848, 15360, 2.268750
1024, 1152, 1152, 98602, 46080, 2.139800
1024, 10240, 10240, 3416906, 409600, 8.342056
1024, 15360, 15360, 5041484, 614400, 8.205540
1024, 40960, 40960, 12174292, 1638400, 7.430598
1024, 81920, 81920, 25261452, 3276800, 7.709183
1024, 163840, 163840, 45218920, 6553600, 6.899860
2048, 384, 384, 58458, 15360, 3.805859
2048, 1152, 1152, 232332, 46080, 5.041927
2048, 10240, 10240, 3509838, 409600, 8.568940
2048, 15360, 15360, 5296166, 614400, 8.620062
2048, 40960, 40960, 10197068, 1638400, 6.223796
2048, 81920, 81920, 28995236, 3276800, 8.848644
2048, 163840, 163840, 59737128, 6553600, 9.115162
4096, 384, 384, 36976, 15360, 2.407292
4096, 1152, 1152, 368300, 46080, 7.992622
4096, 10240, 10240, 4103444, 409600, 10.018174
4096, 15360, 15360, 4295620, 614400, 6.991569
4096, 40960, 40960, 15162130, 1638400, 9.254230
4096, 81920, 81920, 29487642, 3276800, 8.998914
4096, 163840, 163840, 63477576, 6553600, 9.685909
8192, 384, 384, 75806, 15360, 4.935286
8192, 1152, 1152, 522934, 46080, 11.348394
8192, 10240, 10240, 4188390, 409600, 10.225562
8192, 15360, 15360, 6784612, 614400, 11.042663
8192, 40960, 40960, 15014856, 1638400, 9.164341
8192, 81920, 81920, 30248402, 3276800, 9.231080
8192, 163840, 163840, 92488876, 6553600, 14.112682
