D:, L: , R: , ciclos: , accesos: , ciclos/acc:
1, 384, 3065, 184140, 122600, 1.501958
1, 1152, 9209, 590252, 368360, 1.602378
1, 10240, 81913, 5223198, 3276520, 1.594130
1, 15360, 122873, 7454834, 4914920, 1.516776
1, 40960, 327673, 22155268, 13106920, 1.690349
1, 81920, 655353, 43662882, 26214120, 1.665625
1, 163840, 1310713, 79516992, 52428520, 1.516674
2, 384, 1533, 98292, 61320, 1.602935
2, 1152, 4605, 295172, 184200, 1.602454
2, 10240, 40957, 2430800, 1638280, 1.483751
2, 15360, 61437, 3957344, 2457480, 1.610326
2, 40960, 163837, 11774124, 6553480, 1.796622
2, 81920, 327677, 20994446, 13107080, 1.601764
2, 163840, 655357, 42934396, 26214280, 1.637825
4, 384, 767, 49458, 30680, 1.612060
4, 1152, 2303, 148250, 92120, 1.609314
4, 10240, 20479, 1295210, 819160, 1.581144
4, 15360, 30719, 1999856, 1228760, 1.627540
4, 40960, 81919, 5369848, 3276760, 1.638768
4, 81920, 163839, 10029088, 6553560, 1.530327
4, 163840, 327679, 22123758, 13107160, 1.687914
8, 384, 384, 23320, 15360, 1.518229
8, 1152, 1152, 75020, 46080, 1.628038
8, 10240, 10240, 626524, 409600, 1.529600
8, 15360, 15360, 980556, 614400, 1.595957
8, 40960, 40960, 2684188, 1638400, 1.638298
8, 81920, 81920, 5860756, 3276800, 1.788561
8, 163840, 163840, 10860074, 6553600, 1.657116
16, 384, 384, 22832, 15360, 1.486458
16, 1152, 1152, 70768, 46080, 1.535764
16, 10240, 10240, 691120, 409600, 1.687305
16, 15360, 15360, 1322934, 614400, 2.153213
16, 40960, 40960, 4156314, 1638400, 2.536813
16, 81920, 81920, 8570234, 3276800, 2.615428
16, 163840, 163840, 19755116, 6553600, 3.014391
32, 384, 384, 28120, 15360, 1.830729
32, 1152, 1152, 83380, 46080, 1.809462
32, 10240, 10240, 990110, 409600, 2.417261
32, 15360, 15360, 1484814, 614400, 2.416689
32, 40960, 40960, 4273556, 1638400, 2.608372
32, 81920, 81920, 10632052, 3276800, 3.244645
32, 163840, 163840, 31748944, 6553600, 4.844504
64, 384, 384, 25506, 15360, 1.660547
64, 1152, 1152, 75696, 46080, 1.642708
64, 10240, 10240, 872562, 409600, 2.130278
64, 15360, 15360, 1195680, 614400, 1.946094
64, 40960, 40960, 4829450, 1638400, 2.947662
64, 81920, 81920, 15915714, 3276800, 4.857090
64, 163840, 163840, 31146026, 6553600, 4.752506
128, 384, 384, 23952, 15360, 1.559375
128, 1152, 1152, 83874, 46080, 1.820182
128, 10240, 10240, 1071588, 409600, 2.616182
128, 15360, 15360, 1543560, 614400, 2.512305
128, 40960, 40960, 7261018, 1638400, 4.431774
128, 81920, 81920, 15841980, 3276800, 4.834589
128, 163840, 163840, 31126332, 6553600, 4.749501
256, 384, 384, 27352, 15360, 1.780729
256, 1152, 1152, 104708, 46080, 2.272309
256, 10240, 10240, 1582098, 409600, 3.862544
256, 15360, 15360, 2925028, 614400, 4.760788
256, 40960, 40960, 8223112, 1638400, 5.018989
256, 81920, 81920, 16326186, 3276800, 4.982357
256, 163840, 163840, 35631230, 6553600, 5.436894
512, 384, 384, 33466, 15360, 2.178776
512, 1152, 1152, 177686, 46080, 3.856033
512, 10240, 10240, 2278940, 409600, 5.563818
512, 15360, 15360, 3412556, 614400, 5.554290
512, 40960, 40960, 9284216, 1638400, 5.666636
512, 81920, 81920, 17883988, 3276800, 5.457760
512, 163840, 163840, 37758194, 6553600, 5.761443
1024, 384, 384, 36690, 15360, 2.388672
1024, 1152, 1152, 104584, 46080, 2.269618
1024, 10240, 10240, 2179886, 409600, 5.321987
1024, 15360, 15360, 3210858, 614400, 5.226006
1024, 40960, 40960, 9035252, 1638400, 5.514680
1024, 81920, 81920, 18981010, 3276800, 5.792545
1024, 163840, 163840, 38359904, 6553600, 5.853257
2048, 384, 384, 37070, 15360, 2.413411
2048, 1152, 1152, 186306, 46080, 4.043099
2048, 10240, 10240, 2349178, 409600, 5.735298
2048, 15360, 15360, 3509642, 614400, 5.712308
2048, 40960, 40960, 14144980, 1638400, 8.633411
2048, 81920, 81920, 21202514, 3276800, 6.470494
2048, 163840, 163840, 43126874, 6553600, 6.580639
4096, 384, 384, 79612, 15360, 5.183073
4096, 1152, 1152, 189094, 46080, 4.103602
4096, 10240, 10240, 2530732, 409600, 6.178545
4096, 15360, 15360, 3759078, 614400, 6.118291
4096, 40960, 40960, 11120694, 1638400, 6.787533
4096, 81920, 81920, 22383224, 3276800, 6.830818
4096, 163840, 163840, 45718306, 6553600, 6.976060
8192, 384, 384, 81144, 15360, 5.282813
8192, 1152, 1152, 126312, 46080, 2.741146
8192, 10240, 10240, 2608930, 409600, 6.369458
8192, 15360, 15360, 5075692, 614400, 8.261217
8192, 40960, 40960, 14860040, 1638400, 9.069849
8192, 81920, 81920, 27148196, 3276800, 8.284972
8192, 163840, 163840, 59450038, 6553600, 9.071356
