D:, L: , R: , ciclos: , accesos: , ciclos/acc:
1, 384, 3065, 216972, 122600, 1.769755
1, 1152, 9209, 652610, 368360, 1.771664
1, 10240, 81913, 5826160, 3276520, 1.778155
1, 15360, 122873, 8732768, 4914920, 1.776787
1, 40960, 327673, 23406660, 13106920, 1.785825
1, 81920, 655353, 46738686, 26214120, 1.782958
1, 163840, 1310713, 93324186, 52428520, 1.780027
2, 384, 1533, 108770, 61320, 1.773810
2, 1152, 4605, 326842, 184200, 1.774387
2, 10240, 40957, 2910850, 1638280, 1.776772
2, 15360, 61437, 4374582, 2457480, 1.780109
2, 40960, 163837, 11685752, 6553480, 1.783137
2, 81920, 327677, 23370456, 13107080, 1.783041
2, 163840, 655357, 46751312, 26214280, 1.783429
4, 384, 767, 55410, 30680, 1.806063
4, 1152, 2303, 164156, 92120, 1.781980
4, 10240, 20479, 1466352, 819160, 1.790068
4, 15360, 30719, 2196460, 1228760, 1.787542
4, 40960, 81919, 5875746, 3276760, 1.793157
4, 81920, 163839, 11742910, 6553560, 1.791837
4, 163840, 327679, 23491720, 13107160, 1.792281
32, 384, 384, 28118, 15360, 1.830599
32, 1152, 1152, 83308, 46080, 1.807899
32, 10240, 10240, 915760, 409600, 2.235742
32, 15360, 15360, 1262682, 614400, 2.055146
32, 40960, 40960, 3393312, 1638400, 2.071113
32, 81920, 81920, 9305270, 3276800, 2.839743
32, 163840, 163840, 28194298, 6553600, 4.302108
256, 384, 384, 29362, 15360, 1.911589
256, 1152, 1152, 104156, 46080, 2.260330
256, 10240, 10240, 974438, 409600, 2.378999
256, 15360, 15360, 2472912, 614400, 4.024922
256, 40960, 40960, 7839288, 1638400, 4.784722
256, 81920, 81920, 15948374, 3276800, 4.867057
256, 163840, 163840, 31526028, 6553600, 4.810490
