D:;L:;R:;ciclos:;accesos:;ciclos/acc:
1;384;3065;217134;122600;1,771077
1;1152;9209;652268;368360;1,770735
1;10240;81913;5820982;3276520;1,776575
1;15360;122873;8745312;4914920;1,779340
1;40960;327673;23510398;13106920;1,793739
1;81920;655353;46680174;26214120;1,780726
1;163840;1310713;93277172;52428520;1,779130
2;384;1533;108774;61320;1,773875
2;1152;4605;335914;184200;1,823637
2;10240;40957;2918730;1638280;1,781582
2;15360;61437;4376560;2457480;1,780914
2;40960;163837;11709456;6553480;1,786754
2;81920;327677;23377624;13107080;1,783587
2;163840;655357;46816104;26214280;1,785901
4;384;767;54576;30680;1,778879
4;1152;2303;164158;92120;1,782002
4;10240;20479;1465240;819160;1,788710
4;15360;30719;2201636;1228760;1,791754
4;40960;81919;5897448;3276760;1,799780
4;81920;163839;11754382;6553560;1,793587
4;163840;327679;23490386;13107160;1,792180
8;384;384;27600;15360;1,796875
8;1152;1152;83260;46080;1,806858
8;10240;10240;754272;409600;1,841484
8;15360;15360;1142290;614400;1,859196
8;40960;40960;3075406;1638400;1,877079
8;81920;81920;6071132;3276800;1,852762
8;163840;163840;11957944;6553600;1,824637
16;384;384;27546;15360;1,793359
16;1152;1152;83240;46080;1,806424
16;10240;10240;802266;409600;1,958657
16;15360;15360;1408704;614400;2,292813
16;40960;40960;3910102;1638400;2,386537
16;81920;81920;8004348;3276800;2,442733
16;163840;163840;17747400;6553600;2,708038
32;384;384;28086;15360;1,828516
32;1152;1152;83314;46080;1,808030
32;10240;10240;852004;409600;2,080088
32;15360;15360;1405742;614400;2,287992
32;40960;40960;3791320;1638400;2,314038
32;81920;81920;7478230;3276800;2,282175
32;163840;163840;27972330;6553600;4,268239
64;384;384;28060;15360;1,826823
64;1152;1152;85072;46080;1,846181
64;10240;10240;839090;409600;2,048560
64;15360;15360;1228960;614400;2,000260
64;40960;40960;3963282;1638400;2,418995
64;81920;81920;14695872;3276800;4,484824
64;163840;163840;33240170;6553600;5,072047
128;384;384;28518;15360;1,856641
128;1152;1152;94440;46080;2,049479
128;10240;10240;817404;409600;1,995615
128;15360;15360;1223750;614400;1,991781
128;40960;40960;6744944;1638400;4,116787
128;81920;81920;14399826;3276800;4,394478
128;163840;163840;28937086;6553600;4,415449
256;384;384;30282;15360;1,971484
256;1152;1152;103834;46080;2,253342
256;10240;10240;991570;409600;2,420825
256;15360;15360;2476018;614400;4,029977
256;40960;40960;7917246;1638400;4,832303
256;81920;81920;16104178;3276800;4,914605
256;163840;163840;32295334;6553600;4,927877
512;384;384;34570;15360;2,250651
512;1152;1152;99834;46080;2,166536
512;10240;10240;2242478;409600;5,474800
512;15360;15360;3474714;614400;5,655459
512;40960;40960;8901566;1638400;5,433085
512;81920;81920;18619308;3276800;5,682162
512;163840;163840;37268328;6553600;5,686696
1024;384;384;33164;15360;2,159115
1024;1152;1152;94076;46080;2,041580
1024;10240;10240;2289950;409600;5,590698
1024;15360;15360;3692992;614400;6,010729
1024;40960;40960;9788440;1638400;5,974390
1024;81920;81920;20214366;3276800;6,168935
1024;163840;163840;39810316;6553600;6,074572
2048;384;384;39096;15360;2,545313
2048;1152;1152;97420;46080;2,114149
2048;10240;10240;2778062;409600;6,782378
2048;15360;15360;3891878;614400;6,334437
2048;40960;40960;10634760;1638400;6,490942
2048;81920;81920;21215356;3276800;6,474413
2048;163840;163840;44367162;6553600;6,769892
4096;384;384;39478;15360;2,570182
4096;1152;1152;219196;46080;4,756858
4096;10240;10240;2587206;409600;6,316421
4096;15360;15360;3995672;614400;6,503372
4096;40960;40960;10442522;1638400;6,373610
4096;81920;81920;20742410;3276800;6,330081
4096;163840;163840;42312580;6553600;6,456387
8192;384;384;43566;15360;2,836328
8192;1152;1152;340982;46080;7,399783
8192;10240;10240;3441902;409600;8,403081
8192;15360;15360;5160054;614400;8,398525
8192;40960;40960;13958436;1638400;8,519553
8192;81920;81920;27609320;3276800;8,425696
8192;163840;163840;56003548;6553600;8,545463
