D:, L:, R:, ciclos:, accesos:, ciclos/acc:
1, 384, 3065, 225788, 122600, 1.841664
1, 1152, 9209, 652470, 368360, 1.771284
1, 10240, 81913, 5826438, 3276520, 1.778240
1, 15360, 122873, 8739486, 4914920, 1.778154
1, 40960, 327673, 23375162, 13106920, 1.783421
1, 81920, 655353, 46695372, 26214120, 1.781306
1, 163840, 1310713, 93355216, 52428520, 1.780619
2, 384, 1533, 108774, 61320, 1.773875
2, 1152, 4605, 326640, 184200, 1.773290
2, 10240, 40957, 2916622, 1638280, 1.780295
2, 15360, 61437, 4377692, 2457480, 1.781374
2, 40960, 163837, 11711504, 6553480, 1.787066
2, 81920, 327677, 23386244, 13107080, 1.784245
2, 163840, 655357, 46875974, 26214280, 1.788185
4, 384, 767, 54612, 30680, 1.780052
4, 1152, 2303, 164156, 92120, 1.781980
4, 10240, 20479, 1468798, 819160, 1.793054
4, 15360, 30719, 2213326, 1228760, 1.801268
4, 40960, 81919, 5867922, 3276760, 1.790770
4, 81920, 163839, 11768904, 6553560, 1.795803
4, 163840, 327679, 23492058, 13107160, 1.792307
32, 384, 384, 28036, 15360, 1.825260
32, 1152, 1152, 83536, 46080, 1.812847
32, 10240, 10240, 830260, 409600, 2.027002
32, 15360, 15360, 1413208, 614400, 2.300143
32, 40960, 40960, 3404178, 1638400, 2.077745
32, 81920, 81920, 8471162, 3276800, 2.585193
32, 163840, 163840, 28041340, 6553600, 4.278769
256, 384, 384, 30284, 15360, 1.971615
256, 1152, 1152, 101178, 46080, 2.195703
256, 10240, 10240, 1057412, 409600, 2.581572
256, 15360, 15360, 2534574, 614400, 4.125283
256, 40960, 40960, 8064340, 1638400, 4.922083
256, 81920, 81920, 16317822, 3276800, 4.979804
256, 163840, 163840, 32240652, 6553600, 4.919533
