D:, L: , R: , ciclos: , accesos: , ciclos/acc:
1, 384, 3065, 217074, 122600, 1.770587
1, 1152, 9209, 658882, 368360, 1.788690
1, 10240, 81913, 5827732, 3276520, 1.778635
1, 15360, 122873, 8750198, 4914920, 1.780334
1, 40960, 327673, 23326988, 13106920, 1.779746
1, 81920, 655353, 46661516, 26214120, 1.780015
1, 163840, 1310713, 93344228, 52428520, 1.780409
2, 384, 1533, 108858, 61320, 1.775245
2, 1152, 4605, 326848, 184200, 1.774419
2, 10240, 40957, 2909908, 1638280, 1.776197
2, 15360, 61437, 4374242, 2457480, 1.779971
2, 40960, 163837, 11692586, 6553480, 1.784180
2, 81920, 327677, 23365504, 13107080, 1.782663
2, 163840, 655357, 46789990, 26214280, 1.784905
4, 384, 767, 54512, 30680, 1.776793
4, 1152, 2303, 164244, 92120, 1.782935
4, 10240, 20479, 1457816, 819160, 1.779647
4, 15360, 30719, 2198742, 1228760, 1.789399
4, 40960, 81919, 5871336, 3276760, 1.791811
4, 81920, 163839, 11742474, 6553560, 1.791770
4, 163840, 327679, 23481358, 13107160, 1.791491
32, 384, 384, 28070, 15360, 1.827474
32, 1152, 1152, 83138, 46080, 1.804210
32, 10240, 10240, 945858, 409600, 2.309224
32, 15360, 15360, 1254692, 614400, 2.042142
32, 40960, 40960, 3405918, 1638400, 2.078807
32, 81920, 81920, 8442582, 3276800, 2.576472
32, 163840, 163840, 28067372, 6553600, 4.282741
256, 384, 384, 28682, 15360, 1.867318
256, 1152, 1152, 103906, 46080, 2.254905
256, 10240, 10240, 1102750, 409600, 2.692261
256, 15360, 15360, 2485124, 614400, 4.044798
256, 40960, 40960, 7694780, 1638400, 4.696521
256, 81920, 81920, 15950570, 3276800, 4.867728
256, 163840, 163840, 30996670, 6553600, 4.729716
