D:? L: ? R: ? ciclos: ? accesos: ? ciclos/acc:
1? 384? 3065? 217090? 122600? 1.770718
1? 1152? 9209? 661112? 368360? 1.794744
1? 10240? 81913? 5820560? 3276520? 1.776446
1? 15360? 122873? 8745468? 4914920? 1.779371
1? 40960? 327673? 23337300? 13106920? 1.780533
1? 81920? 655353? 46675052? 26214120? 1.780531
1? 163840? 1310713? 93254050? 52428520? 1.778689
2? 384? 1533? 108710? 61320? 1.772831
2? 1152? 4605? 326780? 184200? 1.774050
2? 10240? 40957? 2911654? 1638280? 1.777263
2? 15360? 61437? 4375520? 2457480? 1.780491
2? 40960? 163837? 11696008? 6553480? 1.784702
2? 81920? 327677? 23380804? 13107080? 1.783830
2? 163840? 655357? 46807756? 26214280? 1.785582
4? 384? 767? 54656? 30680? 1.781486
4? 1152? 2303? 164318? 92120? 1.783739
4? 10240? 20479? 1469482? 819160? 1.793889
4? 15360? 30719? 2208470? 1228760? 1.797316
4? 40960? 81919? 5892400? 3276760? 1.798240
4? 81920? 163839? 11752034? 6553560? 1.793229
4? 163840? 327679? 23480124? 13107160? 1.791397
32? 384? 384? 28060? 15360? 1.826823
32? 1152? 1152? 83382? 46080? 1.809505
32? 10240? 10240? 858658? 409600? 2.096333
32? 15360? 15360? 1374394? 614400? 2.236969
32? 40960? 40960? 3471898? 1638400? 2.119078
32? 81920? 81920? 8364262? 3276800? 2.552570
32? 163840? 163840? 28060710? 6553600? 4.281725
256? 384? 384? 30450? 15360? 1.982422
256? 1152? 1152? 155064? 46080? 3.365104
256? 10240? 10240? 1023982? 409600? 2.499956
256? 15360? 15360? 2501962? 614400? 4.072204
256? 40960? 40960? 7929538? 1638400? 4.839806
256? 81920? 81920? 16326456? 3276800? 4.982439
256? 163840? 163840? 31844852? 6553600? 4.859139
