D:? L: ? R: ? ciclos: ? accesos: ? ciclos/acc:
1? 384? 3065? 217034? 122600? 1.770261
1? 1152? 9209? 652624? 368360? 1.771702
1? 10240? 81913? 5825786? 3276520? 1.778041
1? 15360? 122873? 8739316? 4914920? 1.778120
1? 40960? 327673? 23332732? 13106920? 1.780184
1? 81920? 655353? 46685980? 26214120? 1.780948
1? 163840? 1310713? 93351872? 52428520? 1.780555
2? 384? 1533? 108684? 61320? 1.772407
2? 1152? 4605? 326814? 184200? 1.774235
2? 10240? 40957? 2913286? 1638280? 1.778259
2? 15360? 61437? 4371442? 2457480? 1.778831
2? 40960? 163837? 11695644? 6553480? 1.784646
2? 81920? 327677? 23372942? 13107080? 1.783230
2? 163840? 655357? 46763546? 26214280? 1.783896
4? 384? 767? 54686? 30680? 1.782464
4? 1152? 2303? 164104? 92120? 1.781416
4? 10240? 20479? 1461902? 819160? 1.784635
4? 15360? 30719? 2199046? 1228760? 1.789646
4? 40960? 81919? 5876968? 3276760? 1.793530
4? 81920? 163839? 11755830? 6553560? 1.793808
4? 163840? 327679? 23503546? 13107160? 1.793184
32? 384? 384? 28074? 15360? 1.827734
32? 1152? 1152? 83450? 46080? 1.810981
32? 10240? 10240? 843842? 409600? 2.060161
32? 15360? 15360? 1440972? 614400? 2.345332
32? 40960? 40960? 3356434? 1638400? 2.048605
32? 81920? 81920? 8487586? 3276800? 2.590206
32? 163840? 163840? 28101820? 6553600? 4.287997
256? 384? 384? 30208? 15360? 1.966667
256? 1152? 1152? 104362? 46080? 2.264800
256? 10240? 10240? 1006458? 409600? 2.457173
256? 15360? 15360? 2498830? 614400? 4.067106
256? 40960? 40960? 7847272? 1638400? 4.789595
256? 81920? 81920? 15966290? 3276800? 4.872525
256? 163840? 163840? 31600380? 6553600? 4.821835
