D:, L:, R:, ciclos:, accesos:, ciclos/acc:
1, 384, 3065, 217046, 122600, 1.770359
1, 1152, 9209, 652716, 368360, 1.771951
1, 10240, 81913, 5829602, 3276520, 1.779205
1, 15360, 122873, 8736780, 4914920, 1.777604
1, 40960, 327673, 23329226, 13106920, 1.779917
1, 81920, 655353, 46672128, 26214120, 1.780419
1, 163840, 1310713, 93315426, 52428520, 1.779860
2, 384, 1533, 108888, 61320, 1.775734
2, 1152, 4605, 326656, 184200, 1.773377
2, 10240, 40957, 2918986, 1638280, 1.781738
2, 15360, 61437, 4376934, 2457480, 1.781066
2, 40960, 163837, 11696930, 6553480, 1.784843
2, 81920, 327677, 23409540, 13107080, 1.786023
2, 163840, 655357, 46792820, 26214280, 1.785013
4, 384, 767, 54668, 30680, 1.781877
4, 1152, 2303, 164114, 92120, 1.781524
4, 10240, 20479, 1457570, 819160, 1.779347
4, 15360, 30719, 2208154, 1228760, 1.797059
4, 40960, 81919, 5893106, 3276760, 1.798455
4, 81920, 163839, 11755794, 6553560, 1.793803
4, 163840, 327679, 23506546, 13107160, 1.793413
32, 384, 384, 27938, 15360, 1.818880
32, 1152, 1152, 83348, 46080, 1.808767
32, 10240, 10240, 925514, 409600, 2.259556
32, 15360, 15360, 1357228, 614400, 2.209030
32, 40960, 40960, 3850536, 1638400, 2.350181
32, 81920, 81920, 8310574, 3276800, 2.536186
32, 163840, 163840, 28005408, 6553600, 4.273286
256, 384, 384, 29274, 15360, 1.905859
256, 1152, 1152, 100086, 46080, 2.172005
256, 10240, 10240, 1049368, 409600, 2.561934
256, 15360, 15360, 2502594, 614400, 4.073232
256, 40960, 40960, 8015130, 1638400, 4.892047
256, 81920, 81920, 16080224, 3276800, 4.907295
256, 163840, 163840, 32446406, 6553600, 4.950929
