D:, L:, R:, ciclos:, accesos:, ciclos/acc:
1, 384, 3065, 217054, 122600, 1.770424
1, 1152, 9209, 652442, 368360, 1.771208
1, 10240, 81913, 5822096, 3276520, 1.776915
1, 15360, 122873, 8736908, 4914920, 1.777630
1, 40960, 327673, 23310230, 13106920, 1.778467
1, 81920, 655353, 46713200, 26214120, 1.781986
1, 163840, 1310713, 93279486, 52428520, 1.779175
2, 384, 1533, 108704, 61320, 1.772733
2, 1152, 4605, 326728, 184200, 1.773768
2, 10240, 40957, 2922702, 1638280, 1.784006
2, 15360, 61437, 4377968, 2457480, 1.781487
2, 40960, 163837, 11693822, 6553480, 1.784368
2, 81920, 327677, 23403930, 13107080, 1.785595
2, 163840, 655357, 46816014, 26214280, 1.785897
4, 384, 767, 54552, 30680, 1.778096
4, 1152, 2303, 164114, 92120, 1.781524
4, 10240, 20479, 1456938, 819160, 1.778576
4, 15360, 30719, 2203614, 1228760, 1.793364
4, 40960, 81919, 5873764, 3276760, 1.792552
4, 81920, 163839, 11781926, 6553560, 1.797790
4, 163840, 327679, 23513114, 13107160, 1.793914
32, 384, 384, 28014, 15360, 1.823828
32, 1152, 1152, 83390, 46080, 1.809679
32, 10240, 10240, 827920, 409600, 2.021289
32, 15360, 15360, 1376352, 614400, 2.240156
32, 40960, 40960, 3848622, 1638400, 2.349012
32, 81920, 81920, 8985170, 3276800, 2.742056
32, 163840, 163840, 28029464, 6553600, 4.276957
256, 384, 384, 29734, 15360, 1.935807
256, 1152, 1152, 102564, 46080, 2.225781
256, 10240, 10240, 1319476, 409600, 3.221377
256, 15360, 15360, 2595318, 614400, 4.224150
256, 40960, 40960, 8035524, 1638400, 4.904495
256, 81920, 81920, 16395152, 3276800, 5.003403
256, 163840, 163840, 32519606, 6553600, 4.962098
