D:, L:, R:, ciclos:, accesos:, ciclos/acc:
1, 384, 3065, 217014, 122600, 1.770098
1, 1152, 9209, 652504, 368360, 1.771376
1, 10240, 81913, 5823034, 3276520, 1.777201
1, 15360, 122873, 8746382, 4914920, 1.779557
1, 40960, 327673, 23436964, 13106920, 1.788137
1, 81920, 655353, 46712070, 26214120, 1.781943
1, 163840, 1310713, 93464400, 52428520, 1.782701
2, 384, 1533, 108780, 61320, 1.773973
2, 1152, 4605, 326720, 184200, 1.773724
2, 10240, 40957, 2912432, 1638280, 1.777738
2, 15360, 61437, 4385046, 2457480, 1.784367
2, 40960, 163837, 11692124, 6553480, 1.784109
2, 81920, 327677, 23382490, 13107080, 1.783959
2, 163840, 655357, 46786698, 26214280, 1.784779
4, 384, 767, 54688, 30680, 1.782529
4, 1152, 2303, 164268, 92120, 1.783196
4, 10240, 20479, 1464726, 819160, 1.788083
4, 15360, 30719, 2203934, 1228760, 1.793624
4, 40960, 81919, 5874214, 3276760, 1.792690
4, 81920, 163839, 11767230, 6553560, 1.795548
4, 163840, 327679, 23482376, 13107160, 1.791569
32, 384, 384, 28142, 15360, 1.832161
32, 1152, 1152, 93578, 46080, 2.030773
32, 10240, 10240, 825718, 409600, 2.015913
32, 15360, 15360, 1380480, 614400, 2.246875
32, 40960, 40960, 3399028, 1638400, 2.074602
32, 81920, 81920, 8898858, 3276800, 2.715716
32, 163840, 163840, 27879224, 6553600, 4.254032
256, 384, 384, 31246, 15360, 2.034245
256, 1152, 1152, 99098, 46080, 2.150564
256, 10240, 10240, 935736, 409600, 2.284512
256, 15360, 15360, 2396542, 614400, 3.900622
256, 40960, 40960, 7993768, 1638400, 4.879009
256, 81920, 81920, 16132974, 3276800, 4.923393
256, 163840, 163840, 32664848, 6553600, 4.984260
